Model,MSE,RMSE,MAE,R2
Random Forest,444.9315667192456,21.09340102305092,13.8016937279848,0.9630946129538877
LightGBM,445.5634901599623,21.108374882021646,13.85410131360811,0.9630421972996442
XGBoost,457.83464576877867,21.3970709623719,14.044590369687677,0.9620243514529543
Ridge,646.7116528304576,25.43052600381002,17.14377990357066,0.9463577196130942
